,Score1,Score2,Reward
336,5.25,3.1,43.0
337,6.95,1.4,111.0
338,8.05,2.8,105.0
339,4.6,2.1,50.0
340,5.85,3.0,57.0
341,4.9,1.6,66.0
342,6.7,2.0,94.0
343,7.75,1.6,123.0
344,6.0,1.9,82.0
345,5.55,2.1,69.0
346,4.5,2.1,48.0
347,5.4,2.3,62.0
348,8.6,2.2,128.0
349,5.75,1.4,87.0
350,6.0,2.7,66.0
351,6.85,2.5,87.0
352,6.65,1.9,95.0
353,6.35,2.0,87.0
354,5.05,2.3,55.0
355,4.05,2.4,33.0
356,5.95,1.9,81.0
357,5.3,0.9,88.0
358,6.7,1.5,104.0
359,7.6,1.4,124.0
360,5.0,2.2,56.0
361,5.4,1.8,72.0
362,6.55,2.1,89.0
363,4.85,1.7,63.0
364,7.65,1.5,123.0
365,4.05,1.6,49.0
366,4.35,2.1,45.0
367,5.35,1.9,69.0
368,6.65,1.8,97.0
369,7.1,2.2,98.0
370,5.7,2.4,66.0
371,6.25,1.7,91.0
372,5.75,3.0,55.0
373,5.05,1.9,63.0
374,7.95,4.4,71.0
375,7.35,1.6,115.0
376,6.75,1.4,107.0
377,6.95,1.4,111.0
378,7.4,1.9,110.0
379,3.05,2.1,19.0
380,4.05,2.0,41.0
381,5.25,2.1,63.0
382,7.8,2.7,102.0
383,7.35,1.8,111.0
384,7.45,1.7,115.0
385,6.3,1.8,90.0
386,5.55,2.4,63.0
387,5.25,1.7,71.0
388,6.5,1.5,100.0
389,5.6,1.6,80.0
390,7.1,1.4,114.0
391,5.75,1.8,79.0
392,5.3,3.0,46.0
393,5.25,1.1,83.0
394,6.2,2.0,84.0
395,5.75,1.8,79.0
396,4.85,1.7,63.0
397,7.95,2.5,109.0
398,7.05,2.2,97.0
399,5.05,1.9,63.0
400,6.3,3.3,60.0
401,5.4,2.1,66.0
402,5.7,2.1,72.0
403,4.65,2.5,43.0
404,6.1,1.9,84.0
405,3.9,2.5,28.0
406,4.1,1.7,48.0
407,6.55,1.4,103.0
408,4.2,2.4,36.0
409,6.15,1.5,93.0
410,4.05,2.5,31.0
411,3.9,2.4,30.0
412,5.6,3.6,40.0
413,4.95,3.3,33.0
414,5.7,2.4,66.0
415,6.85,2.1,95.0
416,6.15,1.2,99.0
417,6.05,2.3,75.0
418,5.85,3.0,57.0
419,6.85,2.0,97.0
420,5.9,3.3,52.0
421,5.6,1.7,78.0
422,7.05,2.8,85.0
423,4.9,1.8,62.0
424,8.1,2.3,116.0
