Score1,Score2,Reward
30,23,7
27,6,21
29,7,22
24,20,4
17,33,-16
13,23,-10
29,20,9
20,24,-4
13,30,-17
30,21,9
19,24,-5
20,12,8
26,23,3
3,30,-27
23,24,-1
31,41,-10
26,21,5
20,6,14
24,29,-5
16,34,-18
22,14,8
22,21,1
16,31,-15
23,14,9
13,33,-20
6,17,-11
10,30,-20
7,26,-19
19,33,-14
19,30,-11
23,13,10
20,29,-9
20,16,4
19,24,-5
20,29,-9
27,24,3
17,24,-7
15,43,-28
30,44,-14
27,17,10
20,23,-3
33,9,24
21,7,14
26,10,16
33,17,16
29,6,23
24,41,-17
29,13,16
19,10,9
12,28,-16
33,34,-1
29,7,22
28,6,22
17,6,11
39,21,18
26,31,-5
23,10,13
16,33,-17
17,34,-17
22,14,8
14,30,-16
35,31,4
10,25,-15
16,31,-15
10,27,-17
18,10,8
16,19,-3
26,10,16
30,30,0
26,19,7
28,38,-10
23,26,-3
30,13,17
39,23,16
12,21,-9
13,41,-28
9,20,-11
26,24,2
27,31,-4
39,19,20
30,23,7
10,19,-9
20,11,9
37,27,10
22,23,-1
29,13,16
43,10,33
24,20,4
16,27,-11
13,19,-6
30,30,0
40,10,30
20,3,17
16,32,-16
31,10,21
27,30,-3
17,37,-20
21,30,-9
32,21,11
13,30,-17
24,23,1
28,21,7
24,34,-10
17,35,-18
19,24,-5
13,27,-14
27,38,-11
13,3,10
15,6,9
24,3,21
27,6,21
3,43,-40
23,9,14
19,20,-1
33,20,13
27,23,4
17,37,-20
27,30,-3
16,16,0
30,20,10
23,34,-11
13,34,-21
10,29,-19
33,14,19
24,13,11
35,13,22
23,33,-10
31,26,5
22,24,-2
10,17,-7
34,20,14
13,30,-17
26,50,-24
22,20,2
28,23,5
16,23,-7
35,7,28
25,20,5
9,25,-16
12,27,-15
13,40,-27
16,27,-11
21,30,-9
16,22,-6
22,28,-6
3,23,-20
23,21,2
3,36,-33
22,6,16
26,31,-5
24,24,0
15,23,-8
26,13,13
27,23,4
19,17,2
27,38,-11
12,47,-35
10,34,-24
10,33,-23
22,27,-5
10,13,-3
19,33,-14
19,16,3
16,16,0
20,21,-1
20,27,-7
12,24,-12
23,10,13
13,43,-30
20,10,10
27,40,-13
38,14,24
14,13,1
40,31,9
36,16,20
27,27,0
29,7,22
22,10,12
27,34,-7
28,14,14
12,23,-11
12,23,-11
13,34,-21
13,13,0
29,27,2
6,48,-42
18,3,15
26,21,5
27,20,7
6,24,-18
30,31,-1
3,38,-35
20,14,6
27,7,20
32,24,8
17,27,-10
22,13,9
13,34,-21
14,20,-6
13,22,-9
16,27,-11
34,27,7
24,25,-1
30,14,16
13,35,-22
33,6,27
19,17,2
34,20,14
25,21,4
20,17,3
13,37,-24
17,26,-9
20,22,-2
29,27,2
28,6,22
29,12,17
29,41,-12
10,23,-13
34,28,6
24,19,5
33,20,13
19,30,-11
28,12,16
20,13,7
13,22,-9
6,13,-7
13,0,13
20,34,-14
27,24,3
34,27,7
33,28,5
33,13,20
3,35,-32
27,24,3
3,27,-24
36,31,5
27,27,0
24,38,-14
15,3,12
35,22,13
20,21,-1
40,37,3
22,24,-2
13,23,-10
40,21,19
30,34,-4
25,14,11
14,30,-16
13,40,-27
14,27,-13
23,31,-8
30,30,0
13,35,-22
16,16,0
33,24,9
27,27,0
17,23,-6
27,23,4
27,7,20
29,7,22
23,20,3
13,15,-2
25,16,9
27,10,17
26,3,23
22,19,3
27,31,-4
27,33,-6
32,24,8
26,26,0
15,16,-1
6,32,-26
16,45,-29
32,10,22
25,14,11
3,26,-23
27,23,4
32,28,4
28,34,-6
36,22,14
19,23,-4
29,17,12
6,22,-16
23,27,-4
19,18,1
20,27,-7
21,20,1
29,16,13
3,17,-14
22,28,-6
19,35,-16
16,24,-8
37,16,21
9,46,-37
20,23,-3
23,17,6
40,7,33
16,34,-18
26,27,-1
27,20,7
24,18,6
15,23,-8
23,23,0
17,10,7
13,30,-17
10,16,-6
23,10,13
41,10,31
19,23,-4
30,20,10
39,17,22
24,17,7
14,31,-17
32,35,-3
20,29,-9
12,17,-5
21,13,8
13,13,0
26,37,-11
29,17,12
27,17,10
28,10,18
13,23,-10
30,7,23
28,10,18
25,21,4
31,37,-6
37,24,13
23,35,-12
10,24,-14
34,28,6
21,33,-12
47,16,31
28,33,-5
15,26,-11
23,10,13
17,34,-17
30,30,0
16,20,-4
32,21,11
42,14,28
16,30,-14
15,35,-20
17,22,-5
10,10,0
17,17,0
13,24,-11
16,27,-11
40,42,-2
29,35,-6
29,21,8
26,23,3
9,10,-1
6,30,-24
26,24,2
29,24,5
36,21,15
3,27,-24
30,26,4
22,10,12
27,24,3
22,7,15
16,17,-1
23,38,-15
14,19,-5
20,23,-3
34,25,9
22,24,-2
26,16,10
29,16,13
9,20,-11
6,32,-26
28,10,18
15,3,12
16,22,-6
25,17,8
33,3,30
13,34,-21
29,34,-5
24,38,-14
30,20,10
13,19,-6
16,33,-17
20,26,-6
10,20,-10
30,17,13
27,37,-10
3,13,-10
10,25,-15
13,34,-21
42,7,35
26,27,-1
41,31,10
16,36,-20
26,22,4
39,28,11
33,21,12
26,23,3
37,10,27
30,28,2
13,13,0
20,24,-4
46,42,4
25,10,15
22,9,13
29,17,12
9,42,-33
25,19,6
20,15,5
19,24,-5
13,23,-10
29,26,3
18,10,8
37,6,31
32,33,-1
31,10,21
28,17,11
13,46,-33
6,22,-16
23,23,0
20,27,-7
18,35,-17
30,30,0
24,27,-3
24,17,7
48,24,24
32,41,-9
17,16,1
16,30,-14
17,20,-3
25,14,11
22,10,12
38,20,18
20,37,-17
31,34,-3
20,14,6
16,31,-15
16,13,3
10,23,-13
16,34,-18
16,18,-2
45,14,31
41,31,10
20,34,-14
37,14,23
20,41,-21
33,27,6
30,20,10
45,16,29
22,6,16
33,20,13
41,20,21
14,33,-19
33,20,13
23,23,0
27,37,-10
31,36,-5
20,16,4
17,22,-5
13,28,-15
34,14,20
23,17,6
13,24,-11
30,16,14
37,33,4
22,17,5
10,42,-32
3,6,-3
30,35,-5
32,23,9
6,36,-30
21,27,-6
27,30,-3
40,27,13
21,24,-3
33,28,5
10,45,-35
31,31,0
24,30,-6
31,19,12
28,34,-6
37,27,10
27,10,17
20,38,-18
19,23,-4
13,30,-17
31,10,21
41,37,4
27,24,3
13,33,-20
20,37,-17
25,30,-5
26,17,9
27,27,0
28,45,-17
30,48,-18
23,31,-8
25,20,5
35,22,13
36,14,22
34,27,7
14,19,-5
34,30,4
27,23,4
30,23,7
40,34,6
21,35,-14
36,30,6
17,10,7
13,40,-27
30,16,14
39,21,18
23,27,-4
27,30,-3
9,38,-29
23,24,-1
38,13,25
9,9,0
43,27,16
9,30,-21
16,27,-11
14,41,-27
20,34,-14
30,13,17
20,33,-13
35,20,15
10,13,-3
9,3,6
35,38,-3
23,23,0
19,33,-14
21,23,-2
33,17,16
10,17,-7
25,30,-5
44,24,20
31,28,3
21,37,-16
13,16,-3
20,27,-7
26,23,3
24,23,1
24,37,-13
28,20,8
20,38,-18
12,27,-15
17,37,-20
17,27,-10
19,32,-13
14,46,-32
29,27,2
21,20,1
26,10,16
27,23,4
10,44,-34
9,27,-18
36,20,16
10,20,-10
19,20,-1
49,21,28
13,30,-17
27,31,-4
13,16,-3
27,30,-3
10,36,-26
10,43,-33
21,23,-2
23,3,20
29,24,5
33,17,16
26,34,-8
16,33,-17
17,15,2
19,20,-1
13,55,-42
20,34,-14
29,41,-12
7,22,-15
22,44,-22
27,24,3
19,20,-1
27,28,-1
19,20,-1
17,30,-13
7,30,-23
23,10,13
29,26,3
39,14,25
23,38,-15
23,35,-12
24,20,4
20,35,-15
24,24,0
19,18,1
31,27,4
25,10,15
37,17,20
20,61,-41
17,17,0
48,38,10
6,33,-27
36,24,12
17,23,-6
36,16,20
24,24,0
33,20,13
34,35,-1
13,40,-27
30,44,-14
17,14,3
34,28,6
38,20,18
38,26,12
6,26,-20
27,20,7
23,13,10
32,20,12
24,19,5
19,17,2
19,19,0
20,41,-21
56,21,35
25,10,15
13,26,-13
20,31,-11
10,34,-24
23,13,10
20,40,-20
17,27,-10
31,29,2
18,5,13
19,21,-2
46,20,26
17,37,-20
34,35,-1
37,3,34
16,29,-13
33,14,19
18,30,-12
35,52,-17
16,35,-19
33,25,8
16,24,-8
3,21,-18
13,29,-16
26,27,-1
23,28,-5
9,33,-24
23,27,-4
18,31,-13
25,28,-3
22,37,-15
26,19,7
33,44,-11
22,31,-9
20,27,-7
34,17,17
30,17,13
20,31,-11
32,17,15
13,17,-4
3,24,-21
20,14,6
3,21,-18
18,23,-5
29,21,8
22,27,-5
27,31,-4
26,26,0
27,23,4
16,24,-8
19,13,6
40,23,17
17,34,-17
20,16,4
19,17,2
20,39,-19
24,30,-6
16,29,-13
13,41,-28
20,34,-14
24,16,8
23,22,1
44,27,17
30,13,17
34,27,7
19,20,-1
44,17,27
24,7,17
17,23,-6
41,12,29
19,30,-11
32,13,19
46,24,22
26,34,-8
31,48,-17
19,37,-18
17,30,-13
19,10,9
13,49,-36
30,27,3
25,27,-2
26,38,-12
33,31,2
26,27,-1
26,17,9
21,23,-2
23,34,-11
16,18,-2
30,27,3
33,28,5
6,31,-25
31,22,9
23,13,10
30,35,-5
20,25,-5
12,13,-1
20,33,-13
13,26,-13
28,20,8
24,30,-6
10,36,-26
13,23,-10
29,10,19
24,24,0
27,35,-8
3,30,-27
22,20,2
15,26,-11
14,29,-15
26,24,2
33,23,10
32,20,12
23,20,3
16,30,-14
17,29,-12
16,20,-4
26,21,5
10,22,-12
20,27,-7
20,22,-2
12,26,-14
36,21,15
28,31,-3
34,28,6
23,35,-12
26,23,3
17,16,1
17,44,-27
28,30,-2
18,9,9
26,24,2
9,33,-24
7,27,-20
16,28,-12
6,29,-23
22,41,-19
10,26,-16
7,27,-20
13,35,-22
39,23,16
30,14,16
26,26,0
17,39,-22
26,23,3
33,42,-9
14,21,-7
18,30,-12
33,24,9
9,19,-10
22,17,5
24,31,-7
13,23,-10
14,27,-13
26,38,-12
14,30,-16
19,20,-1
20,21,-1
33,21,12
24,14,10
20,38,-18
13,19,-6
32,13,19
26,23,3
31,41,-10
9,27,-18
13,36,-23
30,37,-7
23,16,7
26,30,-4
13,34,-21
22,42,-20
46,17,29
38,16,22
26,14,12
34,23,11
22,27,-5
45,21,24
30,16,14
22,23,-1
10,40,-30
27,19,8
24,34,-10
9,24,-15
12,16,-4
34,24,10
12,48,-36
17,27,-10
27,20,7
36,23,13
23,13,10
30,27,3
26,35,-9
22,31,-9
13,19,-6
6,30,-24
29,31,-2
10,29,-19
34,45,-11
29,23,6
23,31,-8
0,40,-40
30,31,-1
27,33,-6
16,15,1
10,30,-20
33,7,26
7,6,1
24,16,8
24,27,-3
32,40,-8
20,41,-21
17,17,0
17,34,-17
23,10,13
25,39,-14
41,14,27
26,19,7
49,6,43
33,22,11
35,13,22
24,27,-3
17,20,-3
20,24,-4
23,12,11
9,21,-12
15,24,-9
29,16,13
16,17,-1
20,26,-6
28,20,8
51,6,45
20,7,13
37,30,7
23,23,0
30,14,16
30,13,17
19,16,3
7,49,-42
20,30,-10
19,28,-9
31,23,8
23,17,6
32,24,8
37,17,20
18,28,-10
23,6,17
20,20,0
36,10,26
33,23,10
23,36,-13
13,24,-11
15,25,-10
16,31,-15
27,16,11
33,17,16
37,24,13
28,22,6
24,24,0
25,23,2
32,9,23
22,22,0
38,36,2
9,17,-8
17,16,1
14,30,-16
17,24,-7
13,37,-24
29,23,6
23,31,-8
42,27,15
30,19,11
13,27,-14
10,6,4
23,34,-11
19,24,-5
27,34,-7
26,24,2
16,30,-14
33,12,21
34,24,10
24,48,-24
22,28,-6
10,41,-31
10,25,-15
26,30,-4
29,29,0
30,23,7
10,44,-34
40,24,16
37,16,21
40,31,9
29,17,12
27,16,11
24,17,7
21,44,-23
20,10,10
27,13,14
26,21,5
24,17,7
29,22,7
22,28,-6
34,20,14
25,40,-15
23,17,6
16,30,-14
44,6,38
46,24,22
22,20,2
27,6,21
26,13,13
33,27,6
22,37,-15
16,12,4
17,23,-6
6,33,-27
12,26,-14
16,38,-22
7,41,-34
35,20,15
16,37,-21
31,38,-7
27,38,-11
23,17,6
37,35,2
6,26,-20
13,39,-26
34,14,20
24,27,-3
49,30,19
32,17,15
23,20,3
19,7,12
16,16,0
32,41,-9
29,19,10
47,24,23
27,17,10
41,32,9
33,24,9
9,13,-4
27,41,-14
34,45,-11
22,20,2
20,22,-2
43,7,36
21,27,-6
20,16,4
36,7,29
20,23,-3
20,7,13
27,7,20
22,17,5
23,20,3
14,49,-35
35,6,29
10,17,-7
31,27,4
26,36,-10
16,17,-1
13,30,-17
34,31,3
20,37,-17
16,10,6
42,21,21
40,31,9
26,13,13
16,12,4
43,10,33
30,24,6
19,27,-8
13,26,-13
44,21,23
20,16,4
42,16,26
30,21,9
9,29,-20
27,23,4
10,35,-25
24,33,-9
34,9,25
23,34,-11
16,19,-3
10,23,-13
20,21,-1
28,21,7
30,30,0
28,16,12
17,42,-25
24,19,5
23,38,-15
3,20,-17
40,26,14
19,35,-16
21,38,-17
18,20,-2
10,30,-20
47,31,16
9,0,9
20,33,-13
47,17,30
42,13,29
0,23,-23
17,43,-26
30,27,3
22,16,6
22,27,-5
16,28,-12
16,45,-29
26,20,6
23,10,13
22,12,10
30,30,0
13,26,-13
16,20,-4
36,20,16
20,20,0
10,20,-10
14,32,-18
19,10,9
19,34,-15
16,29,-13
25,9,16
16,29,-13
35,24,11
12,22,-10
30,7,23
15,20,-5
36,21,15
20,41,-21
19,34,-15
20,19,1
22,20,2
40,12,28
15,19,-4
27,6,21
30,34,-4
21,13,8
22,24,-2
33,16,17
32,24,8
34,24,10
33,27,6
33,13,20
26,27,-1
39,9,30
30,28,2
46,42,4
23,24,-1
26,28,-2
28,23,5
7,20,-13
23,10,13
29,6,23
10,20,-10
40,24,16
35,13,22
24,31,-7
35,10,25
30,23,7
19,13,6
19,30,-11
38,37,1
13,37,-24
27,24,3
7,20,-13
28,24,4
13,35,-22
15,26,-11
14,20,-6
19,22,-3
3,34,-31
17,32,-15
19,16,3
17,27,-10
30,16,14
15,31,-16
23,20,3
24,17,7
0,34,-34
6,31,-25
3,25,-22
37,13,24
19,20,-1
16,22,-6
19,23,-4
20,26,-6
40,21,19
27,24,3
16,22,-6
23,21,2
30,12,18
13,26,-13
20,23,-3
9,17,-8
16,43,-27
14,20,-6
37,34,3
16,19,-3
13,26,-13
22,27,-5
23,27,-4
28,24,4
24,23,1
32,29,3
27,24,3
17,23,-6
28,23,5
19,17,2
19,10,9
19,16,3
23,43,-20
22,29,-7
20,29,-9
23,27,-4
17,36,-19
19,27,-8
14,23,-9
16,31,-15
16,16,0
10,27,-17
14,22,-8
26,19,7
30,23,7
23,14,9
20,28,-8
19,17,2
33,14,19
19,21,-2
35,27,8
23,14,9
22,41,-19
13,16,-3
26,16,10
22,20,2
26,26,0
23,21,2
29,9,20
18,30,-12
26,17,9
22,20,2
3,17,-14
40,45,-5
22,17,5
20,24,-4
6,22,-16
22,25,-3
23,24,-1
16,23,-7
25,3,22
19,19,0
20,23,-3
