DownAndDistance,Yardline,Expected Points Added (EPA)
1-20,99,-0.183667
1-19,99,-0.192059
1-18,99,-0.295899
1-17,99,-0.192702
1-15,99,0.0514005
1-13,99,-0.075091
1-12,99,0.0948084
1-10,99,0.157196
1-9,99,0.301286
1-7,99,0.440053
1-4,99,0.947455
1-3,99,0.936511
1-2,99,1.48771
1-1,99,1.36546
2-20,99,-0.139555
2-18,99,-0.0595136
2-17,99,-0.19615
2-16,99,-0.140645
2-15,99,0.0333198
2-13,99,-0.126814
2-10,99,0.0674931
2-8,99,0.226209
2-7,99,0.196259
2-4,99,1.096
2-3,99,0.890525
2-2,99,1.2323
2-1,99,1.53763
3-20,99,-0.112361
3-16,99,-0.122865
3-15,99,-0.0418204
3-13,99,-0.139699
3-11,99,-0.189163
3-10,99,0.0616856
3-9,99,0.0415368
3-8,99,0.158396
3-5,99,0.663028
3-4,99,0.815077
3-2,99,1.30806
3-1,99,1.36049
4-17,99,-0.14
4-16,99,-0.148739
4-15,99,-0.052423
4-14,99,0.0682881
4-13,99,-0.117485
4-12,99,-0.351437
4-9,99,0.105234
4-8,99,-0.211115
4-7,99,0.0100302
4-5,99,0.218485
4-3,99,0.675063
4-1,99,0.772273
1-20,98,-0.0561397
1-19,98,-0.165177
1-18,98,-0.297702
1-17,98,-0.177028
1-15,98,-0.0129853
1-13,98,0.0627661
1-12,98,0.145006
1-10,98,0.165719
1-9,98,0.28548
1-7,98,0.451035
1-4,98,1.00299
1-3,98,1.07702
1-2,98,1.31137
1-1,98,1.79457
2-20,98,0.00438474
2-18,98,0.0170678
2-17,98,-0.0781198
2-16,98,-0.0689241
2-15,98,-0.00207546
2-13,98,0.0517023
2-10,98,0.101703
2-7,98,0.351914
2-4,98,0.990452
2-3,98,1.18818
2-2,98,1.15396
2-1,98,1.62638
3-20,98,-0.0397274
3-16,98,-0.118353
3-15,98,-0.144777
3-13,98,-0.246607
3-11,98,0.0194334
3-10,98,-0.0657381
3-9,98,0.0885287
3-8,98,0.111845
3-5,98,0.695435
3-4,98,1.00816
3-2,98,1.01711
3-1,98,1.68205
4-17,98,-0.18
4-16,98,-0.108048
4-15,98,-0.166266
4-14,98,0.0311637
4-13,98,-0.12858
4-12,98,-0.0791682
4-9,98,0.105828
4-8,98,-0.0563351
4-7,98,0.100462
4-5,98,0.318375
4-3,98,0.593191
4-1,98,0.932211
1-20,97,0.0191862
1-19,97,0.000532788
1-18,97,-0.119437
1-17,97,-0.242236
1-15,97,0.12416
1-13,97,0.0331945
1-12,97,0.191717
1-7,97,0.505518
1-4,97,1.09199
1-3,97,0.906497
1-2,97,1.31529
1-10,97,0.210107
1-1,97,1.77785
2-20,97,-0.0327164
2-18,97,-0.0415467
2-17,97,-0.0756753
2-16,97,-0.170394
2-15,97,-0.0338408
2-13,97,-0.0295269
2-12,97,0.116832
2-10,97,0.201278
2-6,99,0.423549
1-14,97,0.101412
2-8,97,0.239277
2-7,97,0.510978
1-14,99,0.0375148
2-6,97,0.377329
2-4,97,0.932924
2-3,97,1.0168
2-2,97,1.25688
2-1,97,1.54926
3-20,97,-0.131335
3-16,97,-0.0482467
3-15,97,-0.0374251
3-13,97,-0.261355
3-11,97,-0.0036305
3-10,97,0.0871859
3-9,97,0.12445
3-8,97,0.0984946
3-5,97,0.732342
3-4,97,0.948095
3-2,97,1.08127
3-1,97,1.51482
4-17,97,-0.18
4-16,97,-0.1977
4-15,97,0.0132949
4-13,97,-0.102918
4-12,97,-0.169473
4-9,97,0.0761201
4-8,97,-0.198517
4-7,97,0.112027
4-5,97,0.332557
4-1,97,0.967139
1-20,96,0.0271875
1-19,96,0.000829103
1-18,96,-0.202024
1-17,96,-0.0395865
1-15,96,-0.0166952
2-8,98,0.197818
2-6,98,0.48068
1-14,96,0.0914052
1-13,96,0.0856105
1-12,96,0.215255
1-9,96,0.327844
1-7,96,0.466822
1-4,96,1.09666
1-3,96,1.16607
1-2,96,1.37267
1-10,96,0.193931
1-1,96,1.43252
2-20,96,-0.02494
2-18,96,0.0547036
2-17,96,-0.0746591
2-16,96,-0.250102
2-15,96,0.0108664
2-13,96,0.018698
2-12,96,0.143369
2-10,96,0.165441
2-7,96,0.518787
1-14,98,-0.0251535
2-8,96,0.136311
2-6,96,0.348589
2-4,96,1.05747
2-3,96,1.10826
2-2,96,1.32905
2-1,96,1.76424
3-20,96,-0.00909595
3-16,96,-0.00946623
3-13,96,-0.0126229
3-11,96,0.10058
3-10,96,0.0749794
3-9,96,0.0494626
3-8,96,0.12684
3-5,96,0.79195
3-4,96,1.09903
3-2,96,1.27946
3-1,96,1.78408
4-17,96,-0.22
4-16,96,-0.0431116
4-15,96,-0.0453754
4-13,96,-0.255646
4-12,96,-0.0863145
4-9,96,0.0816333
4-8,96,-0.0411258
4-7,96,-0.229942
4-5,96,0.332455
4-1,96,0.959392
1-19,95,0.00451073
1-17,95,0.0500818
1-15,95,0.175554
1-13,95,0.0903937
1-7,95,0.495475
1-4,95,1.15669
1-2,95,1.36937
1-1,95,1.50415
2-20,95,0.0252233
2-17,95,-0.1318
2-16,95,-0.171135
2-15,95,0.0811839
2-14,95,0.109527
2-13,95,0.0776765
2-10,95,0.249915
2-9,95,0.358559
