DownAndDistance,Yardline,Expected Points Added (EPA)
3-10,94,0.236471
3-9,94,0.269016
3-8,94,0.33131
3-6,94,0.529186
3-5,94,0.873752
3-4,94,0.924452
3-2,94,1.03508
3-7,98,0.287228
3-1,94,1.41942
4-18,94,0.0109644
4-16,94,0.0248856
4-13,94,0.0400264
4-12,94,0.0818185
4-9,94,0.16083
4-5,94,0.822696
4-3,94,0.824459
4-1,94,1.22835
1-19,93,0.0173839
1-17,93,0.031586
1-15,93,0.174697
1-13,93,0.167196
1-7,93,0.566304
1-4,93,0.961866
1-2,93,1.15202
1-1,93,1.53025
2-20,93,0.0137738
2-17,93,0.0350673
2-16,93,0.0667262
2-15,93,0.145501
2-14,93,0.0975826
2-13,93,0.139301
2-10,93,0.276488
2-7,93,0.526327
2-4,93,0.959011
2-2,93,1.14302
2-1,93,1.57055
3-20,93,0.00670212
3-18,93,0.0630866
3-16,93,0.0483368
3-13,93,0.0844267
3-11,93,0.182742
3-10,93,0.24356
3-9,93,0.270922
3-8,93,0.361972
3-6,93,0.533759
3-5,93,0.893914
3-4,93,0.926616
3-2,93,1.08306
3-7,97,0.380046
3-1,93,1.42892
4-16,93,0.0220675
4-13,93,0.0416596
4-12,93,0.0895451
4-9,93,0.158375
4-5,93,0.830739
4-3,93,0.84996
4-11,96,0.0679509
4-2,93,0.767978
4-1,93,1.22766
1-19,92,0.0210681
1-17,92,0.0410132
1-15,92,0.179879
1-13,92,0.16749
1-7,92,0.576689
1-4,92,0.999751
1-2,92,1.18745
1-1,92,1.58096
2-20,92,0.0152636
2-17,92,0.0369714
2-16,92,0.0706122
2-15,92,0.146728
2-14,92,0.10155
2-13,92,0.152215
2-10,92,0.277705
2-7,92,0.551968
2-4,92,0.967089
2-2,92,1.17988
2-1,92,1.58601
3-20,92,0.00648339
3-18,92,0.0689792
3-16,92,0.0510714
3-13,92,0.0885207
3-11,92,0.197782
3-10,92,0.256795
3-9,92,0.287116
3-8,92,0.369115
3-6,92,0.562544
3-5,92,0.908205
3-4,92,0.960763
3-2,92,1.04954
3-7,96,0.408942
3-1,92,1.45455
4-16,92,0.0245202
4-13,92,0.0375402
4-12,92,0.0867556
4-9,92,0.164333
4-5,92,0.871018
4-3,92,0.865548
4-11,97,-0.00113342
4-2,92,0.829369
4-1,92,1.25392
1-19,91,0.0226558
1-17,91,0.0423275
1-15,91,0.189133
1-13,91,0.166958
1-7,91,0.60455
1-4,91,1.00117
1-2,91,1.1924
1-1,91,1.5853
2-20,91,0.0163504
2-17,91,0.0377199
2-16,91,0.0705976
2-15,91,0.147676
2-14,91,0.104099
2-13,91,0.154987
2-10,91,0.285128
2-7,91,0.550767
2-4,91,0.980089
2-2,91,1.17772
2-1,91,1.62892
3-20,91,0.00744625
3-18,91,0.0714069
3-16,91,0.0535386
4-18,97,0.00820709
3-13,91,0.0904357
3-11,91,0.199074
3-10,91,0.252867
3-9,91,0.286895
3-8,91,0.366591
3-6,91,0.571537
3-5,91,0.889373
3-4,91,0.957059
3-2,91,1.10063
3-1,91,1.50577
4-16,91,0.0254885
4-13,91,0.0456897
4-12,91,0.0899006
4-9,91,0.178223
4-5,91,0.859284
4-3,91,0.871489
4-1,91,1.27313
1-19,90,0.026944
1-17,90,0.0432334
1-15,90,0.188018
1-13,90,0.17419
1-7,90,0.604853
1-4,90,1.03399
1-2,90,1.21333
1-1,90,1.59818
