DownAndDistance,Yardline,Expected Points Added (EPA)
1-20,99,-0.106665
1-19,99,-0.156077
1-18,99,-0.206554
1-17,99,-0.131138
1-15,99,-0.0359574
1-13,99,-0.00936732
1-12,99,0.0237795
1-10,99,0.139947
1-7,99,0.324785
1-4,99,0.771561
1-3,99,0.791778
1-2,99,0.966918
1-1,99,1.31525
1-20,98,-0.0624024
1-19,98,-0.0895236
1-18,98,-0.111253
1-17,98,-0.0828037
1-15,98,0.0298172
1-13,98,0.0016118
1-12,98,0.109408
1-10,98,0.158533
1-7,98,0.383473
1-4,98,0.783969
1-3,98,0.89227
1-2,98,0.980877
1-1,98,1.3546
1-20,97,0.0201902
1-19,97,0.0141325
1-18,97,0.0575739
1-17,97,-0.0126776
1-15,97,0.105727
1-13,97,0.0809362
1-12,97,0.153017
1-7,97,0.444817
1-4,97,0.874693
1-3,97,0.929632
1-2,97,1.03916
1-10,97,0.214265
1-1,97,1.3913
1-20,96,0.0262258
1-19,96,0.0197989
1-18,96,0.0621518
1-17,96,-0.0136709
1-15,96,0.142251
1-13,96,0.107753
1-12,96,0.180077
1-7,96,0.497121
1-4,96,0.891162
1-3,96,0.973823
1-2,96,1.10206
1-10,96,0.238763
1-1,96,1.47061
1-19,95,0.0204853
1-17,95,0.015279
1-15,95,0.154685
1-13,95,0.128523
1-7,95,0.520997
1-4,95,0.922067
1-2,95,1.13617
1-1,95,1.49042
1-19,94,0.0222022
1-17,94,0.0316507
1-15,94,0.169235
1-13,94,0.153427
1-7,94,0.561099
1-4,94,0.952254
1-2,94,1.14994
1-1,94,1.52466
1-19,93,0.0237595
2-18,99,-0.0406833
1-17,93,0.031586
1-15,93,0.174697
1-13,93,0.167196
1-7,93,0.566304
1-4,93,0.991932
1-2,93,1.15202
1-1,93,1.5373
1-19,92,0.0245586
2-18,98,0.0592536
1-17,92,0.0410132
2-16,98,-0.0465239
1-15,92,0.179879
1-13,92,0.16749
1-7,92,0.587265
1-4,92,0.999751
1-2,92,1.18745
1-1,92,1.58096
1-19,91,0.0270285
2-18,97,0.0629593
1-17,91,0.0423275
2-16,99,-0.165141
1-15,91,0.189133
1-13,91,0.179118
1-7,91,0.612439
1-4,91,1.03724
1-2,91,1.24067
1-1,91,1.59468
3-20,99,0.00257542
2-20,99,-0.060235
1-19,90,0.0285099
2-18,96,0.0687894
1-17,90,0.0432334
2-16,96,0.0567087
1-15,90,0.218201
1-13,90,0.187705
1-7,90,0.637621
1-4,90,1.05487
1-2,90,1.27302
1-1,90,1.62091
3-20,98,0.00277614
4-15,99,-0.0393615
2-20,98,-0.0347224
1-19,89,0.0329895
1-17,89,0.0550572
2-16,97,0.0166532
1-15,89,0.209396
1-13,89,0.204368
1-7,89,0.666488
1-4,89,1.07723
1-2,89,1.23953
2-2,99,0.866422
1-1,89,1.66412
3-20,97,0.00269926
3-15,99,0.0153368
4-15,98,-0.0229158
2-20,97,-0.0202329
1-19,88,0.0329472
1-17,88,0.0554301
2-17,99,-0.121378
2-16,95,0.0624783
1-15,88,0.225641
2-15,99,-0.00987089
1-13,88,0.213624
1-7,88,0.659728
1-4,88,1.08944
2-4,99,0.749468
1-2,88,1.29996
1-1,88,1.70098
3-20,96,0.00328893
3-16,99,0.0424378
3-11,97,0.0340049
3-11,99,-0.0824078
3-5,99,0.711091
3-4,99,0.706426
3-2,99,0.828303
4-15,97,-0.0120532
4-13,99,-0.0260537
2-20,96,0.0111957
1-19,87,0.0347148
1-17,87,0.0574451
1-15,87,0.237627
2-15,98,0.0065023
1-13,87,0.211454
2-10,98,0.151092
1-7,87,0.699014
1-4,87,1.14091
1-2,87,1.29321
1-1,87,1.73279
2-1,98,1.42675
3-20,95,0.00443961
3-18,95,0.0544316
3-16,98,0.0421154
3-13,99,0.0197563
3-11,98,-0.000715677
3-4,98,0.780774
3-2,98,0.859823
4-17,99,0.00951243
4-16,99,0.0199295
4-15,96,-0.0186868
4-13,98,0.036652
4-5,99,0.771973
2-20,95,0.0120542
1-19,86,0.0401941
1-17,86,0.0625434
1-15,86,0.243418
2-15,97,0.0182799
1-13,86,0.223294
2-8,99,0.209332
1-7,86,0.702344
2-7,99,0.251772
1-4,86,1.13322
1-2,86,1.31078
1-1,86,1.73645
3-20,94,0.00442681
3-18,94,0.0586271
3-16,97,0.0409688
3-13,98,0.0747986
3-9,99,0.128609
3-5,98,0.805649
3-4,97,0.847898
3-2,97,0.905841
4-17,98,0.00930326
4-16,98,0.0226231
4-13,97,0.0398248
4-8,99,0.132021
4-5,98,0.796243
4-3,98,0.774676
4-1,99,0.980667
2-20,94,0.0145251
1-19,85,0.0413735
1-17,85,0.0604441
2-16,93,0.0667262
1-15,85,0.242799
2-15,96,0.0563122
1-13,85,0.224926
2-10,97,0.224224
1-14,97,0.0700937
2-6,99,0.384019
2-8,97,0.284582
1-7,85,0.703601
2-7,97,0.390566
2-7,98,0.373817
1-4,85,1.13334
2-4,98,0.74849
1-2,85,1.33604
2-2,98,1.0112
1-1,85,1.7497
2-1,96,1.471
3-20,93,0.00670212
3-18,93,0.0630866
3-16,96,0.0447894
3-13,97,0.0786024
3-11,96,0.11884
3-9,98,0.203592
3-5,97,0.843994
3-5,96,0.858241
3-4,96,0.888992
3-2,96,0.948637
4-17,97,0.012448
4-16,97,0.020707
4-14,99,0.0340582
4-13,96,0.0368915
4-7,98,0.0982107
4-5,97,0.81064
4-1,98,1.06857
2-20,93,0.0137738
1-19,84,0.0439148
1-17,84,0.0649441
2-17,98,-0.0969706
2-16,94,0.0643314
1-15,84,0.250678
2-15,95,0.130118
1-13,84,0.229392
1-7,84,0.700147
2-7,96,0.440939
1-4,84,1.14376
2-4,97,0.830021
2-3,98,0.859596
1-2,84,1.35073
1-1,84,1.79305
2-1,99,1.29848
3-20,92,0.00648339
3-18,92,0.0689792
3-16,95,0.0455562
3-13,96,0.0791089
3-11,95,0.173073
3-10,99,0.16158
3-10,96,0.224982
3-9,97,0.215897
3-4,95,0.880119
3-2,95,1.01009
3-1,99,1.21463
4-17,96,0.0102372
4-16,96,0.0186898
4-13,95,0.0430104
4-8,98,0.185872
4-8,97,0.191547
4-5,96,0.820546
4-1,97,1.09855
2-20,92,0.0233407
1-19,83,0.0458223
1-17,83,0.0686048
2-17,96,-0.0267744
1-15,83,0.253436
2-15,94,0.137192
1-13,83,0.230246
2-13,99,0.0496233
2-12,96,0.189716
2-10,99,0.124234
2-10,96,0.214544
1-7,83,0.743318
1-4,83,1.1628
2-3,99,0.803875
1-2,83,1.37144
2-2,96,1.10066
2-2,94,1.14303
1-1,83,1.7943
3-20,91,0.00744625
3-18,91,0.0714069
3-16,94,0.0454427
3-13,95,0.0798083
3-11,92,0.197782
3-11,94,0.183338
3-10,98,0.148932
3-10,97,0.222336
3-9,95,0.268255
3-9,96,0.23779
3-5,95,0.871893
3-4,94,0.924452
3-2,94,1.03508
3-1,98,1.24755
1-3,85,1.21308
4-17,95,0.0135553
4-16,95,0.0206934
4-13,94,0.0400264
4-9,99,0.0705406
4-8,96,0.189514
4-5,95,0.803182
4-1,96,1.17414
2-20,91,0.0285251
1-19,82,0.0463389
1-17,82,0.0728617
2-16,90,0.077846
1-15,82,0.25936
2-15,93,0.145501
1-13,82,0.24348
2-13,98,0.0341358
2-13,96,0.0827404
2-13,95,0.124204
1-14,83,0.23356
2-8,95,0.364043
1-14,96,0.0942123
2-6,98,0.422287
2-8,98,0.202672
1-7,82,0.74674
1-4,82,1.17906
2-4,95,0.910534
1-2,82,1.40047
1-1,82,1.82166
2-1,95,1.52303
3-20,90,0.0138696
3-18,90,0.0767093
3-16,93,0.0483368
3-13,94,0.0799742
3-11,93,0.182742
3-8,99,0.227186
3-5,94,0.873752
3-4,93,0.926616
3-2,93,1.08306
3-1,97,1.29972
1-3,82,1.24221
4-17,94,0.0117244
4-16,94,0.0248856
4-13,93,0.0416596
4-12,99,-0.0677185
4-9,98,0.0920888
4-5,94,0.822696
4-3,99,0.585494
4-1,95,1.13819
2-20,90,0.0267012
1-19,81,0.0505313
1-17,81,0.0748593
2-17,97,-0.0106888
2-17,93,0.0350673
2-16,89,0.0789165
1-15,81,0.269726
2-15,92,0.146728
2-14,94,0.0945702
2-14,93,0.0975826
1-13,81,0.244668
2-13,97,0.0660396
2-13,93,0.139301
2-13,91,0.154987
2-12,97,0.133505
2-10,94,0.250089
1-7,81,0.751628
1-14,99,-0.0226496
2-6,97,0.483472
1-4,81,1.20539
2-3,97,0.930081
1-2,81,1.39207
2-2,92,1.17988
2-2,97,1.00277
1-1,81,1.83758
2-1,97,1.42249
3-20,89,0.0134797
3-18,89,0.0809322
3-16,92,0.0510714
3-13,93,0.0844267
3-11,90,0.200155
3-10,95,0.239411
3-9,93,0.270922
3-9,94,0.269016
3-8,98,0.275046
3-5,92,0.908205
3-5,93,0.893914
3-4,92,0.960763
3-2,92,1.05211
3-1,96,1.3597
1-3,87,1.18702
4-17,93,0.0115284
4-16,93,0.0220675
4-13,92,0.0375402
4-12,98,-0.0104128
4-9,97,0.0815359
4-5,93,0.830739
4-2,95,0.669625
4-1,94,1.22835
2-20,89,0.0277667
1-19,80,0.0478857
1-17,80,0.0745194
2-17,95,0.0329387
2-17,91,0.0377199
2-16,92,0.0706122
2-16,88,0.0884261
1-15,80,0.27989
