DownAndDistance,Yardline,Expected Points Added (EPA)
1-20,99,-0.130902
1-19,99,-0.156077
1-18,99,-0.206554
1-17,99,-0.131138
1-15,99,-0.0365446
1-13,99,-0.00936732
1-12,99,0.0237795
1-10,99,0.139947
1-9,99,0.128224
1-7,99,0.324785
1-4,99,0.771561
1-3,99,0.791778
1-2,99,0.966918
1-1,99,1.31525
2-20,99,-0.060235
2-18,99,-0.129088
2-17,99,-0.121583
2-16,99,-0.165141
2-15,99,-0.00987089
2-13,99,-0.0579776
2-10,99,0.124234
2-8,99,0.209332
2-7,99,0.251772
2-4,99,0.749468
2-3,99,0.803875
2-2,99,0.852343
2-1,99,1.29848
3-20,99,-0.0435612
3-16,99,-0.0939354
3-15,99,-0.130125
3-13,99,-0.200818
3-11,99,-0.113604
3-10,99,-0.0926495
3-9,99,-0.113087
3-8,99,0.0246167
3-5,99,0.568739
3-4,99,0.611929
3-2,99,0.828303
3-1,99,1.21463
4-17,99,-0.18
4-16,99,-0.10648
4-15,99,-0.0411496
4-14,99,0.0340582
4-13,99,-0.162757
4-12,99,-0.289529
4-9,99,0.0705406
4-8,99,-0.110946
4-7,99,-0.101491
4-5,99,0.224447
4-3,99,0.514473
4-1,99,0.777769
1-20,98,-0.107556
1-19,98,-0.138033
1-18,98,-0.111253
1-17,98,-0.1298
1-15,98,0.020167
1-13,98,-0.000329975
1-12,98,0.0730181
1-10,98,0.15786
1-9,98,0.18594
1-7,98,0.383473
1-4,98,0.783969
1-3,98,0.89227
1-2,98,0.936211
1-1,98,1.3546
2-20,98,-0.0347224
2-18,98,-0.0483976
2-17,98,-0.121908
2-16,98,-0.157468
2-15,98,0.0065023
2-13,98,-0.00253758
2-10,98,0.130193
2-7,98,0.373817
2-4,98,0.74849
2-3,98,0.83857
2-2,98,0.926871
2-1,98,1.42675
3-20,98,-0.0550392
3-16,98,-0.0483197
3-15,98,-0.085052
3-13,98,-0.172362
3-11,98,-0.108341
3-10,98,-0.0982113
3-9,98,-0.0784875
3-8,98,0.0565306
3-5,98,0.63087
3-4,98,0.757179
3-2,98,0.847692
3-1,98,1.24454
4-17,98,-0.188
4-16,98,-0.0937889
4-15,98,-0.0544859
4-14,98,0.038562
4-13,98,-0.115936
4-12,98,-0.286201
4-9,98,0.0681186
4-8,98,-0.077668
4-7,98,0.00970425
4-5,98,0.31039
4-3,98,0.524413
4-1,98,0.813198
1-20,97,-0.0709473
1-19,97,0.0141325
1-18,97,-0.119449
1-17,97,-0.0665078
1-15,97,-0.0211415
1-13,97,0.056332
1-12,97,0.129679
1-7,97,0.423106
1-4,97,0.874693
1-3,97,0.91655
1-2,97,0.99047
1-10,97,0.214265
1-1,97,1.38639
2-20,97,-0.0202329
2-18,97,-0.0606555
2-17,97,-0.132588
2-16,97,-0.096815
2-15,97,0.00605381
2-13,97,-0.0228673
2-12,97,0.0860531
2-10,97,0.176109
2-6,99,0.384019
1-14,97,0.056974
2-8,97,0.284582
2-7,97,0.379944
1-14,99,-0.0226496
2-6,97,0.434384
2-4,97,0.830021
2-3,97,0.915517
2-2,97,1.00277
2-1,97,1.42249
3-20,97,-0.0607336
3-16,97,-0.0410407
3-15,97,-0.0297758
3-13,97,-0.179984
3-11,97,-0.0456355
3-10,97,-0.0384221
3-9,97,0.00465496
3-8,97,0.131375
3-5,97,0.670132
3-4,97,0.740375
3-2,97,0.842981
3-1,97,1.29914
4-17,97,-0.202
4-16,97,-0.103957
4-15,97,-0.0523668
4-13,97,-0.160212
