,Team,Offensive AEP,Defensive AEP
0,ARI,1.728951604080325,2.186228226825465
1,ATL,2.5123037953759884,2.53149873988464
2,BAL,2.735620522318949,2.267855752162999
3,BUF,3.3176191843249305,2.4113662569322796
4,CAR,2.174710147885067,2.0149125156376844
5,CHI,1.9979720787011324,2.4264755032783594
6,CIN,2.014569395829625,2.6382022911770986
7,CLE,2.328664297265542,2.5629545625720995
8,DAL,2.4842928411503955,2.8967659576372573
9,DEN,2.154015392280496,2.492630125385601
10,DET,2.568094970559709,2.7331956612529376
11,GB,2.611216573445845,2.36688904114185
12,HOU,2.869403025048067,2.8489847220145266
13,IND,2.5016079009506513,2.710638322276224
14,JAX,2.757758121549883,2.6707687303407392
15,KC,2.7042189225592823,2.399681445860927
16,LA,2.3116285016823337,1.7902693002563557
17,LAC,1.7971453091540275,2.32657326900235
18,LV,2.0522983442640466,2.305553013084811
19,MIA,2.715104036092715,2.010967592394788
20,MIN,2.8743940259132663,2.6103620395054477
21,NE,2.323601892245247,2.6949487519333477
22,NO,2.8596648378925433,2.274871673905148
23,NYG,1.8284884919354838,2.2672204943975642
24,NYJ,1.6371456299401834,2.56527697644734
25,PHI,2.183364074108096,2.937997394627216
26,PIT,2.1864813337107454,1.757050039634693
27,SEA,2.4378104254432813,2.5342300501709034
28,SF,2.0380848169461654,2.1317766971800896
29,TB,2.8707458862422564,2.235687688122196
30,TEN,2.235148087054048,2.743281307039095
31,WAS,2.0982149007477036,2.376731571100192
