,Team,Offensive AEP,Defensive AEP
0,ARI,2.042290213615482,2.240536301344919
1,ATL,2.3291941471968736,2.277204863013699
2,BAL,2.249712376510695,2.200684020888852
3,BUF,2.6230212997755005,1.916925858361569
4,CAR,1.7400383963747479,2.2802537901687905
5,CHI,1.91750796908558,2.5255286701902007
6,CIN,2.5648204099548924,2.387033818188621
7,CLE,2.4589554142509407,1.9400691641465901
8,DAL,2.180444782266614,2.0113262142515644
9,DEN,1.840350431255327,2.2040547143866793
10,DET,2.723409917296859,2.32109971520153
11,GB,2.097491940104351,2.132102164718232
12,HOU,1.8222554190880746,2.3768765249132144
13,IND,1.7327090696218843,2.2902209070970962
14,JAX,2.5158528465898935,2.4600695159498613
15,KC,2.870620073136965,2.1145238225933856
16,LA,1.614027744648388,2.3655768690814227
17,LAC,1.9929856603404916,2.371207030037209
18,LV,2.3994661047248846,2.342736701365706
19,MIA,2.7084089885255787,2.1907688798719525
20,MIN,2.0777799538071386,2.4619490699115723
21,NE,2.167252426673872,2.1155802120273557
22,NO,2.1591817501610993,2.0450896470842084
23,NYG,2.1268311798366146,2.4617199974972457
24,NYJ,2.064034873440456,2.0462091280717982
25,PHI,2.697531927515746,1.9921674699232959
26,PIT,2.0388274193693228,2.3179979379528968
27,SEA,2.5106849063836867,2.078065544164051
28,SF,2.500808778061405,1.6261937993805478
29,TB,2.3603751806689255,2.0442306292971915
30,TEN,2.306277661338267,2.274472145999543
31,WAS,2.1637367722867773,2.2988186915209843
