,Team,Offensive AEP,Defensive AEP
0,ARI,2.45294028885817,2.708603415403164
1,ATL,2.3238425927619684,2.5969747623838524
2,BAL,2.8750287166316757,2.2502500529029037
3,BUF,2.569861536630844,2.097272762481552
4,CAR,2.269568480229488,2.804493671586256
5,CHI,2.0053299091733017,2.1503542783253993
6,CIN,2.7595426670962646,2.515829874404972
7,CLE,1.4969824097802813,2.298724539946161
8,DAL,2.022514306909597,2.346050751581267
9,DEN,2.0782367604194816,1.8609777851913445
10,DET,2.933888881383167,2.1074776516931006
11,GB,2.335407551073648,2.038073717380007
12,HOU,2.1423101318727005,2.057883878672542
13,IND,1.8263247675724943,2.0340570601534083
14,JAX,2.1677200287858316,2.785633955644709
15,KC,2.2908064804383974,2.1762547224848774
16,LA,2.3990790961710355,2.3138937340719647
17,LAC,2.4200077895214833,1.9394841610202258
18,LV,1.99372548342445,2.245130886488453
19,MIA,2.0861353327998002,2.4815829580314714
20,MIN,2.428171541852537,1.8312081950235934
21,NE,2.028520127095849,2.5662223221568587
22,NO,1.9249354699565546,2.189272635515622
23,NYG,1.7627686478308768,2.5455901224354047
24,NYJ,2.1275776602448704,2.2122149453010995
25,PHI,2.330235725944249,1.876480078231858
26,PIT,2.166364047533623,2.28053862343318
27,SEA,2.1478744875070155,2.417995365127736
28,SF,2.3376507861267593,2.532705769559108
29,TB,2.8054765137589133,2.285849245868585
30,TEN,1.7663612369942003,2.3122798159311535
31,WAS,2.353111339908953,2.0300305614671466
