,Team,Offensive AEP,Defensive AEP
0,ARI,2.2160043416966344,2.7478792160018295
1,ATL,2.1387478610929804,2.457163197713431
2,BAL,2.776797173918556,1.5750493330825035
3,BUF,2.0733827342735984,1.6944124873822937
4,CAR,1.7905171692913715,2.3474399014093583
5,CHI,2.0894217377367115,2.215575127089613
6,CIN,1.81161656862203,2.203423181927786
7,CLE,1.9350859547674975,2.4140970685347245
8,DAL,2.4476436517471467,2.483110407840855
9,DEN,2.144347773677427,2.0792869174340534
10,DET,2.0670373833891116,2.778541031355105
11,GB,2.199904820917954,2.2284455317417424
12,HOU,2.145074639075395,1.9636439875381964
13,IND,2.3464924986633964,2.0378760520568733
14,JAX,2.1312918697798655,2.3186198206664312
15,KC,2.749010061176129,2.199003482237512
16,LA,2.2940413210967217,1.8179834744818844
17,LAC,2.7833507097594943,2.1763772079468686
18,LV,2.3403126812459725,2.6394570094331384
19,MIA,1.6622037590142809,2.7417344814510405
20,MIN,2.5377364843577856,2.2138736452503793
21,NE,2.207152423426944,1.51965426213233
22,NO,3.108870411545097,2.0529744320431536
23,NYG,2.109214329724988,2.279020632440185
24,NYJ,1.9307055260980734,1.9742362462843246
25,PHI,2.1913155964495816,2.2187090329519616
26,PIT,1.8797350034069886,1.8747732467372733
27,SEA,2.1792622635832624,2.3276488484025193
28,SF,2.517957798989752,1.8460494412289272
29,TB,2.158305962306941,2.6545912806909597
30,TEN,2.5726123206955327,2.420270889294697
31,WAS,2.01144820514686,2.2488247999168522
