,Team,Offensive AEP,Defensive AEP
0,ARI,2.0550840567484983,2.377925162063733
1,ATL,1.9461222822088264,2.2684198690660407
2,BAL,2.521894776221756,1.5298897420022033
3,BUF,2.564233867641923,1.902009113375808
4,CAR,1.7332144995198207,2.425812924667927
5,CHI,2.0166793822271187,2.0884669303635643
6,CIN,2.2188403425405867,2.253057925644916
7,CLE,1.8345046118714528,1.5158299751537194
8,DAL,2.4580987681730306,1.8947405305988732
9,DEN,2.027649858444717,2.516741045750099
10,DET,2.7889379094726343,2.3549737742511856
11,GB,2.6269452232980646,2.54531894907186
12,HOU,2.211436901910325,2.209888000097699
13,IND,2.1755721971625754,2.2232496811898477
14,JAX,2.0937442379674476,2.110632445205479
15,KC,2.2126393725148104,1.943051956072921
16,LA,2.220196171272372,2.095736139277028
17,LAC,2.189349588355125,2.5070282886274344
18,LV,1.8399040598249732,2.0545306595898727
19,MIA,2.6360080011495213,2.03465682066851
20,MIN,2.010327597933773,2.4121260280707593
21,NE,1.7491413937763736,2.1461361134980352
22,NO,2.38407558382356,2.092196821250546
23,NYG,1.5518710494171328,2.241131383416135
24,NYJ,1.5827259951435342,1.7928012088448664
25,PHI,2.2650193198079283,2.0348907500821083
26,PIT,1.8425837174810318,1.797121531274035
27,SEA,2.307601359407155,2.206855585777538
28,SF,2.800781747604298,2.1054713474089013
29,TB,2.2655402906021993,2.284822075332072
30,TEN,2.0753125367015195,2.1289746746585734
31,WAS,1.8290066790924395,2.546719716756397
